measure,quantile,time,sex,age,ethnic,value
lx,50%,2017-19,Male,2 years,Total,99479
lx,50%,2017-19,Male,3 years,Total,99455
lx,50%,2017-19,Male,4 years,Total,99436
lx,50%,2017-19,Male,5 years,Total,99422
lx,50%,2017-19,Male,6 years,Total,99410
lx,50%,2017-19,Male,7 years,Total,99399
lx,50%,2017-19,Male,8 years,Total,99389
lx,50%,2017-19,Male,9 years,Total,99379
lx,50%,2017-19,Male,10 years,Total,99369
lx,50%,2017-19,Male,11 years,Total,99357
lx,50%,2017-19,Male,12 years,Total,99343
lx,50%,2017-19,Male,13 years,Total,99326
lx,50%,2017-19,Male,14 years,Total,99305
lx,50%,2017-19,Male,15 years,Total,99279
lx,50%,2017-19,Male,16 years,Total,99245
lx,50%,2017-19,Male,17 years,Total,99203
lx,50%,2017-19,Male,18 years,Total,99152
lx,50%,2017-19,Male,19 years,Total,99093
lx,50%,2017-19,Male,20 years,Total,99028
lx,50%,2017-19,Male,21 years,Total,98957
lx,50%,2017-19,Male,22 years,Total,98881
lx,50%,2017-19,Male,23 years,Total,98803
lx,50%,2017-19,Male,24 years,Total,98723
lx,50%,2017-19,Male,25 years,Total,98644
lx,50%,2017-19,Male,26 years,Total,98566
lx,50%,2017-19,Male,27 years,Total,98490
lx,50%,2017-19,Male,28 years,Total,98415
lx,50%,2017-19,Male,29 years,Total,98340
lx,50%,2017-19,Male,30 years,Total,98264
lx,50%,2017-19,Male,31 years,Total,98184
lx,50%,2017-19,Male,32 years,Total,98100
lx,50%,2017-19,Male,33 years,Total,98013
lx,50%,2017-19,Male,34 years,Total,97921
lx,50%,2017-19,Male,35 years,Total,97827
lx,50%,2017-19,Male,36 years,Total,97730
lx,50%,2017-19,Male,37 years,Total,97630
lx,50%,2017-19,Male,38 years,Total,97524
lx,50%,2017-19,Male,39 years,Total,97411
lx,50%,2017-19,Male,40 years,Total,97293
lx,50%,2017-19,Male,41 years,Total,97166
lx,50%,2017-19,Male,42 years,Total,97034
lx,50%,2017-19,Male,43 years,Total,96893
lx,50%,2017-19,Male,44 years,Total,96739
lx,50%,2017-19,Male,45 years,Total,96573
lx,50%,2017-19,Male,46 years,Total,96393
lx,50%,2017-19,Male,47 years,Total,96201
lx,50%,2017-19,Male,48 years,Total,95992
lx,50%,2017-19,Male,49 years,Total,95761
lx,50%,2017-19,Male,50 years,Total,95511
lx,50%,2017-19,Male,51 years,Total,95234
lx,50%,2017-19,Male,52 years,Total,94929
lx,50%,2017-19,Male,53 years,Total,94591
lx,50%,2017-19,Male,54 years,Total,94224
lx,50%,2017-19,Male,55 years,Total,93826
lx,50%,2017-19,Male,56 years,Total,93407
lx,50%,2017-19,Male,57 years,Total,92956
lx,50%,2017-19,Male,58 years,Total,92462
lx,50%,2017-19,Male,59 years,Total,91922
lx,50%,2017-19,Male,60 years,Total,91314
lx,50%,2017-19,Male,61 years,Total,90674
lx,50%,2017-19,Male,62 years,Total,90009
lx,50%,2017-19,Male,63 years,Total,89285
lx,50%,2017-19,Male,64 years,Total,88493
lx,50%,2017-19,Male,65 years,Total,87642
lx,50%,2017-19,Male,66 years,Total,86733
lx,50%,2017-19,Male,67 years,Total,85742
lx,50%,2017-19,Male,68 years,Total,84689
lx,50%,2017-19,Male,69 years,Total,83586
lx,50%,2017-19,Male,70 years,Total,82372
lx,50%,2017-19,Male,71 years,Total,81070
lx,50%,2017-19,Male,72 years,Total,79682
lx,50%,2017-19,Male,73 years,Total,78029
lx,50%,2017-19,Male,74 years,Total,76242
lx,50%,2017-19,Male,75 years,Total,74333
lx,50%,2017-19,Male,76 years,Total,72184
lx,50%,2017-19,Male,77 years,Total,69991
lx,50%,2017-19,Male,78 years,Total,67618
lx,50%,2017-19,Male,79 years,Total,64939
lx,50%,2017-19,Male,80 years,Total,62018
lx,50%,2017-19,Male,81 years,Total,58903
lx,50%,2017-19,Male,82 years,Total,55499
lx,50%,2017-19,Male,83 years,Total,51892
lx,50%,2017-19,Male,84 years,Total,48162
lx,50%,2017-19,Male,85 years,Total,44227
lx,50%,2017-19,Male,86 years,Total,40081
lx,50%,2017-19,Male,87 years,Total,35845
lx,50%,2017-19,Male,88 years,Total,31586
lx,50%,2017-19,Male,89 years,Total,27382
lx,50%,2017-19,Male,90 years,Total,23324
lx,50%,2017-19,Male,91 years,Total,19489
lx,50%,2017-19,Male,92 years,Total,15952
lx,50%,2017-19,Male,93 years,Total,12784
lx,50%,2017-19,Male,94 years,Total,10018
lx,50%,2017-19,Male,95 years,Total,7667
lx,50%,2017-19,Male,96 years,Total,5730
lx,50%,2017-19,Male,97 years,Total,4175
lx,50%,2017-19,Male,98 years,Total,2961
lx,50%,2017-19,Male,99 years,Total,2040
lx,50%,2017-19,Male,100 years,Total,1363
lx,50%,2017-19,Male,101 years,Total,882
lx,50%,2017-19,Male,102 years,Total,552
lx,50%,2017-19,Male,103 years,Total,333
lx,50%,2017-19,Male,104 years,Total,192
lx,50%,2017-19,Male,105 years,Total,106
lx,97.50%,2017-19,Female,0 years,Total,100000
lx,97.50%,2017-19,Female,1 years,Total,99623
lx,97.50%,2017-19,Female,2 years,Total,99596
lx,97.50%,2017-19,Female,3 years,Total,99577
lx,97.50%,2017-19,Female,4 years,Total,99563
lx,97.50%,2017-19,Female,5 years,Total,99551
lx,97.50%,2017-19,Female,6 years,Total,99542
lx,97.50%,2017-19,Female,7 years,Total,99534
lx,97.50%,2017-19,Female,8 years,Total,99527
lx,97.50%,2017-19,Female,9 years,Total,99520
lx,97.50%,2017-19,Female,10 years,Total,99512
lx,97.50%,2017-19,Female,11 years,Total,99504
lx,97.50%,2017-19,Female,12 years,Total,99494
lx,97.50%,2017-19,Female,13 years,Total,99483
lx,97.50%,2017-19,Female,14 years,Total,99469
lx,97.50%,2017-19,Female,15 years,Total,99453
lx,97.50%,2017-19,Female,16 years,Total,99433
lx,97.50%,2017-19,Female,17 years,Total,99408
lx,97.50%,2017-19,Female,18 years,Total,99380
lx,97.50%,2017-19,Female,19 years,Total,99348
lx,97.50%,2017-19,Female,20 years,Total,99314
lx,97.50%,2017-19,Female,21 years,Total,99278
lx,97.50%,2017-19,Female,22 years,Total,99240
lx,97.50%,2017-19,Female,23 years,Total,99202
lx,97.50%,2017-19,Female,24 years,Total,99163
lx,97.50%,2017-19,Female,25 years,Total,99126
lx,97.50%,2017-19,Female,26 years,Total,99089
lx,97.50%,2017-19,Female,27 years,Total,99054
lx,97.50%,2017-19,Female,28 years,Total,99017
lx,97.50%,2017-19,Female,29 years,Total,98981
lx,97.50%,2017-19,Female,30 years,Total,98944
lx,97.50%,2017-19,Female,31 years,Total,98904
lx,97.50%,2017-19,Female,32 years,Total,98861
lx,97.50%,2017-19,Female,33 years,Total,98816
lx,97.50%,2017-19,Female,34 years,Total,98768
lx,97.50%,2017-19,Female,35 years,Total,98717
lx,97.50%,2017-19,Female,36 years,Total,98664
lx,97.50%,2017-19,Female,37 years,Total,98609
lx,97.50%,2017-19,Female,38 years,Total,98549
lx,97.50%,2017-19,Female,39 years,Total,98484
lx,97.50%,2017-19,Female,40 years,Total,98416
lx,97.50%,2017-19,Female,41 years,Total,98342
lx,97.50%,2017-19,Female,42 years,Total,98262
lx,97.50%,2017-19,Female,43 years,Total,98174
lx,97.50%,2017-19,Female,44 years,Total,98077
lx,97.50%,2017-19,Female,45 years,Total,97971
lx,97.50%,2017-19,Female,46 years,Total,97854
lx,97.50%,2017-19,Female,47 years,Total,97724
lx,97.50%,2017-19,Female,48 years,Total,97581
lx,97.50%,2017-19,Female,49 years,Total,97424
lx,97.50%,2017-19,Female,50 years,Total,97253
lx,97.50%,2017-19,Female,51 years,Total,97061
lx,97.50%,2017-19,Female,52 years,Total,96850
lx,97.50%,2017-19,Female,53 years,Total,96618
lx,97.50%,2017-19,Female,54 years,Total,96370
lx,97.50%,2017-19,Female,55 years,Total,96105
lx,97.50%,2017-19,Female,56 years,Total,95822
lx,97.50%,2017-19,Female,57 years,Total,95520
lx,97.50%,2017-19,Female,58 years,Total,95189
lx,97.50%,2017-19,Female,59 years,Total,94827
lx,97.50%,2017-19,Female,60 years,Total,94435
lx,97.50%,2017-19,Female,61 years,Total,94019
lx,97.50%,2017-19,Female,62 years,Total,93584
lx,97.50%,2017-19,Female,63 years,Total,93094
lx,97.50%,2017-19,Female,64 years,Total,92540
lx,97.50%,2017-19,Female,65 years,Total,91946
lx,97.50%,2017-19,Female,66 years,Total,91313
lx,97.50%,2017-19,Female,67 years,Total,90609
lx,97.50%,2017-19,Female,68 years,Total,89871
lx,97.50%,2017-19,Female,69 years,Total,89064
lx,97.50%,2017-19,Female,70 years,Total,88176
lx,97.50%,2017-19,Female,71 years,Total,87246
lx,97.50%,2017-19,Female,72 years,Total,86212
lx,97.50%,2017-19,Female,73 years,Total,84977
lx,97.50%,2017-19,Female,74 years,Total,83617
lx,97.50%,2017-19,Female,75 years,Total,82137
lx,97.50%,2017-19,Female,76 years,Total,80490
lx,97.50%,2017-19,Female,77 years,Total,78777
lx,97.50%,2017-19,Female,78 years,Total,76947
lx,97.50%,2017-19,Female,79 years,Total,74842
lx,97.50%,2017-19,Female,80 years,Total,72501
lx,97.50%,2017-19,Female,81 years,Total,69891
lx,97.50%,2017-19,Female,82 years,Total,67027
lx,97.50%,2017-19,Female,83 years,Total,63927
lx,97.50%,2017-19,Female,84 years,Total,60595
lx,97.50%,2017-19,Female,85 years,Total,56977
lx,97.50%,2017-19,Female,86 years,Total,53058
lx,97.50%,2017-19,Female,87 years,Total,48851
lx,97.50%,2017-19,Female,88 years,Total,44399
lx,97.50%,2017-19,Female,89 years,Total,39784
lx,97.50%,2017-19,Female,90 years,Total,35096
lx,97.50%,2017-19,Female,91 years,Total,30447
lx,97.50%,2017-19,Female,92 years,Total,25930
lx,97.50%,2017-19,Female,93 years,Total,21648
lx,97.50%,2017-19,Female,94 years,Total,17705
lx,97.50%,2017-19,Female,95 years,Total,14154
lx,97.50%,2017-19,Female,96 years,Total,11056
lx,97.50%,2017-19,Female,97 years,Total,8424
lx,97.50%,2017-19,Female,98 years,Total,6258
lx,97.50%,2017-19,Female,99 years,Total,4525
lx,97.50%,2017-19,Female,100 years,Total,3187
lx,97.50%,2017-19,Female,101 years,Total,2184
lx,97.50%,2017-19,Female,102 years,Total,1454
lx,97.50%,2017-19,Female,103 years,Total,935
lx,97.50%,2017-19,Female,104 years,Total,587
lx,97.50%,2017-19,Female,105 years,Total,359
lx,97.50%,2017-19,Male,0 years,Total,100000
lx,97.50%,2017-19,Male,1 years,Total,99556
lx,97.50%,2017-19,Male,2 years,Total,99523
lx,97.50%,2017-19,Male,3 years,Total,99500
lx,97.50%,2017-19,Male,4 years,Total,99483
lx,97.50%,2017-19,Male,5 years,Total,99469
lx,97.50%,2017-19,Male,6 years,Total,99458
lx,97.50%,2017-19,Male,7 years,Total,99448
lx,97.50%,2017-19,Male,8 years,Total,99438
lx,97.50%,2017-19,Male,9 years,Total,99428
lx,97.50%,2017-19,Male,10 years,Total,99418
lx,97.50%,2017-19,Male,11 years,Total,99406
lx,97.50%,2017-19,Male,12 years,Total,99393
lx,97.50%,2017-19,Male,13 years,Total,99377
lx,97.50%,2017-19,Male,14 years,Total,99356
lx,97.50%,2017-19,Male,15 years,Total,99330
lx,97.50%,2017-19,Male,16 years,Total,99298
lx,97.50%,2017-19,Male,17 years,Total,99257
lx,97.50%,2017-19,Male,18 years,Total,99207
lx,97.50%,2017-19,Male,19 years,Total,99150
lx,97.50%,2017-19,Male,20 years,Total,99086
